,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
117,118,20,22,2017-03-21,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303
118,119,64,1591,2017-02-20,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647
119,120,0,678,2017-06-16,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105
120,121,25,50,2017-12-04,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888
121,122,24,1038,2017-12-01,True,Approved,Solex,Road,medium,large,1777.8,820.78,34115
122,123,31,1453,2017-03-05,True,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218
123,124,98,1339,2017-03-21,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470
124,125,22,3382,2017-01-03,True,Approved,Solex,Standard,medium,medium,575.27,431.45,41345
125,126,53,773,2017-04-01,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,37823
126,127,84,2503,2017-03-16,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38482
127,128,25,1057,2017-02-26,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
128,129,50,1397,2017-06-05,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92,42295
129,130,44,2134,2017-09-04,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
130,131,96,2403,2017-01-18,True,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539
131,132,12,1937,2017-09-28,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
132,133,93,1282,2017-09-02,True,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,37539
133,134,78,2183,2017-05-09,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,33429
134,135,84,1788,2017-10-17,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859
135,136,65,1170,2017-04-25,True,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42105
136,137,0,431,2017-09-23,False,Approved,,,,,1942.61,,0
137,138,29,1940,2017-08-02,False,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833
138,139,32,2073,2017-03-25,False,Cancelled,Giant Bicycles,Standard,high,medium,1179.0,707.4,36833
139,140,11,462,2017-01-01,False,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,42560
140,141,10,2728,2017-12-22,False,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499
141,142,46,2053,2017-12-25,False,Approved,Solex,Standard,low,medium,1289.85,74.51,41064
142,143,60,2135,2017-01-26,True,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047
143,144,92,1217,2017-12-20,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259
144,145,7,2992,2017-06-07,True,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693
145,146,41,3261,2017-04-06,True,Approved,Solex,Road,medium,medium,416.98,312.74,35560
146,147,67,2748,2017-04-25,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
147,148,14,3262,2017-01-13,False,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838
148,149,89,788,2017-03-21,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079
149,150,9,3067,2017-11-21,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,34586
150,151,31,701,2017-11-11,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37698
151,152,92,648,2017-10-16,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833
152,153,37,3286,2017-08-19,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
153,154,3,3383,2017-04-06,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784
154,155,56,982,2017-11-04,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42404
155,156,14,676,2017-08-22,True,Approved,Solex,Standard,high,large,1842.92,1105.75,37873
156,157,6,385,2017-09-15,True,Approved,Solex,Standard,high,medium,748.17,448.9,42105
157,158,50,1229,2017-03-01,True,Approved,WeareA2B,Standard,medium,small,175.89,131.92,39915
158,159,10,3232,2017-08-16,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345
159,160,0,3300,2017-08-27,False,Approved,,,,,1656.86,,0
160,161,69,2381,2017-07-10,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,42105
161,162,78,371,2017-12-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
162,163,80,2519,2017-05-20,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,42226
163,164,17,2264,2017-07-30,False,Approved,Solex,Standard,high,medium,1024.66,614.8,35378
164,165,3,2637,2017-10-25,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38573
165,166,78,3262,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
166,167,90,3177,2017-04-26,,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482
167,168,87,2267,2017-02-02,False,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667
168,169,97,456,2017-05-02,False,Approved,Solex,Standard,medium,large,202.62,151.96,38002
169,170,6,404,2017-10-16,,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838
170,171,100,3121,2017-10-22,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364
171,172,55,2365,2017-04-11,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259
172,173,100,2528,2017-11-16,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364
173,174,10,3151,2017-12-17,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,34586
174,175,25,3241,2017-12-23,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42696
175,176,74,1335,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,37873
176,177,90,2234,2017-04-13,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482
177,178,56,3226,2017-07-25,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707
178,179,62,1365,2017-01-31,False,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
179,180,20,3349,2017-03-18,True,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303
180,181,17,1002,2017-02-24,False,Approved,Solex,Standard,high,medium,1024.66,614.8,40670
181,182,16,2282,2017-02-18,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,41345
182,183,46,2656,2017-01-07,False,Approved,Solex,Standard,low,medium,1289.85,74.51,41064
183,184,71,2409,2017-07-05,True,Approved,Solex,Standard,high,large,1842.92,1105.75,34996
184,185,91,1711,2017-11-19,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38193
185,186,17,2582,2017-11-08,True,Approved,Solex,Standard,high,medium,1024.66,614.8,35378
186,187,1,1005,2017-07-24,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873
187,188,3,1597,2017-01-15,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167
188,189,56,2713,2017-01-12,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,34143
189,190,37,1435,2017-11-27,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,40672
190,191,34,1477,2017-06-30,True,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526
191,192,0,1614,2017-07-15,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031
192,193,12,1254,2017-06-22,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,39880
193,194,25,1423,2017-05-02,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,40553
194,195,81,276,2017-12-27,False,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429
195,196,19,1315,2017-12-21,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,36334
196,197,45,591,2017-05-23,True,Approved,Solex,Standard,medium,medium,441.49,84.99,34071
197,198,74,1017,2017-02-02,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848
198,199,33,2123,2017-06-08,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
199,200,57,2889,2017-04-15,True,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143
200,201,0,3208,2017-09-05,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064
201,202,23,2406,2017-02-26,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,39031
202,203,67,2041,2017-07-29,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
203,204,81,1598,2017-07-03,True,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429
204,205,58,1842,2017-05-27,True,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295
205,206,5,141,2017-05-05,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573
206,207,94,1321,2017-09-09,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
207,208,51,183,2017-05-21,False,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009
208,209,59,2591,2017-09-22,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37626
209,210,63,3356,2017-04-12,True,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879
210,211,40,766,2017-05-07,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750
211,212,80,1596,2017-01-13,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647
212,213,82,520,2017-12-14,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226
213,214,46,868,2017-03-22,True,Approved,Solex,Standard,low,medium,1289.85,74.51,41009
214,215,78,2999,2017-09-30,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226
215,216,72,352,2017-11-29,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
216,217,75,1140,2017-06-09,False,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38193
217,218,40,621,2017-04-21,False,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823
218,219,2,3307,2017-11-13,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487
219,220,10,1502,2017-04-09,True,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345
220,221,35,936,2017-05-08,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
221,222,8,939,2017-07-08,True,Approved,Solex,Road,medium,small,1703.52,1516.13,40649
222,223,2,2698,2017-11-30,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487
223,224,69,579,2017-04-25,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879
224,225,54,2036,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
225,226,8,3077,2017-03-10,False,Approved,Solex,Road,medium,small,1703.52,1516.13,34079
226,227,86,369,2017-03-16,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482
227,228,13,821,2017-04-04,True,Approved,Solex,Standard,medium,medium,1163.89,589.27,41345
228,229,19,2687,2017-03-13,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784
229,230,86,681,2017-12-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,41434
230,231,46,37,2017-08-12,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
231,232,30,3002,2017-08-04,False,Approved,Solex,Standard,high,medium,748.17,448.9,36361
232,233,92,396,2017-09-01,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259
233,234,71,550,2017-09-01,True,Approved,Solex,Standard,high,large,1842.92,1105.75,34996
234,235,77,1605,2017-07-02,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553
235,236,7,2325,2017-08-31,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,37698
236,237,23,1420,2017-03-11,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244
237,238,12,3099,2017-10-08,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,34586
238,239,61,1645,2017-10-01,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42145
239,240,21,546,2017-11-23,False,Approved,Solex,Standard,medium,large,1071.23,380.74,33552
240,241,86,2885,2017-03-27,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626
241,242,57,2740,2017-12-04,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146
242,243,63,3166,2017-11-13,True,Approved,Solex,Standard,medium,medium,1483.2,99.59,36146
243,244,63,3487,2017-12-20,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115
244,245,33,2890,2017-09-22,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,40336
245,246,98,3370,2017-01-22,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172
246,247,15,3393,2017-01-29,True,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,39880
247,248,57,2410,2017-07-21,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143
248,249,61,3466,2017-02-10,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172
249,250,48,1454,2017-11-25,False,Cancelled,WeareA2B,Standard,medium,medium,1762.96,950.52,35470
250,251,63,1967,2017-04-11,,Approved,Solex,Standard,medium,medium,1483.2,99.59,42145
251,252,78,3089,2017-12-03,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,41533
252,253,2,3123,2017-12-30,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487
253,254,67,2692,2017-07-26,False,Approved,Solex,Standard,medium,large,1071.23,380.74,36334
254,255,67,2801,2017-04-01,True,Cancelled,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
255,256,13,1580,2017-10-22,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618
256,257,65,352,2017-03-22,False,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
257,258,49,1777,2017-06-15,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064
258,259,87,142,2017-07-06,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667
259,260,31,3393,2017-12-28,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,40618
260,261,17,599,2017-05-09,False,Approved,Solex,Standard,high,medium,1024.66,614.8,39880
261,262,91,1258,2017-01-18,False,Approved,Solex,Standard,medium,medium,100.35,75.26,36367
262,263,53,3405,2017-10-22,True,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,36668
263,264,38,3198,2017-01-30,False,Approved,Solex,Standard,medium,medium,1577.53,826.51,34170
264,265,20,834,2017-06-26,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303
265,266,44,3467,2017-11-07,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
266,267,69,3436,2017-08-13,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922
267,268,68,1516,2017-08-27,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410
268,269,11,2833,2017-01-25,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,41345
269,270,2,2362,2017-02-13,False,Approved,Solex,Standard,medium,medium,71.49,53.62,38573
270,271,27,2337,2017-07-11,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
271,272,0,2149,2017-04-30,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002
272,273,81,2133,2017-05-19,False,Approved,Solex,Standard,medium,medium,1151.96,649.49,35470
273,274,6,360,2017-05-26,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701
274,275,76,2969,2017-02-03,True,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922
275,276,18,1720,2017-04-28,False,Approved,Solex,Standard,medium,medium,575.27,431.45,34244
